code,value_it,description_it,label_it,value_en,description_en,label_en,value_de,description_de,label_de,value_es,description_es,label_es,value_fr,description_fr,label_fr
Actual,Reale,Messaggio reale,Messaggio reale,,,,,,,,,,,,
Exercise,Esercitazione,Messaggio di esercitazione,Messaggio di esercitazione,,,,,,,,,,,,
System,Sistema,Messaggio di sistema,Messaggio di sistema,,,,,,,,,,,,
Test,Test,Messaggio di test,Messaggio di test,,,,,,,,,,,,
Draft,Bozza,Messaggio bozza non utilizzabile,Messaggio bozza,,,,,,,,,,,,
