code,value_it,description_it,label_it,value_en,description_en,label_en,value_de,description_de,label_de,value_es,description_es,label_es,value_fr,description_fr,label_fr
Shelter,Ripararsi,Mettersi al riparo,Ripararsi,,,,,,,,,,,,
Evacuate,Evacuare,Evacuare,Evacuare,,,,,,,,,,,,
Prepare,Prepararsi,Prepararsi,Prepararsi,,,,,,,,,,,,
Execute,Eseguire,Eseguire un'attività pre-programmata,Eseguire,,,,,,,,,,,,
Avoid,Evitare,Evitare l'evento,Evitare,,,,,,,,,,,,
Monitor,Monitorare,Prestare attenzione alle fonti di informazione,Monitorare,,,,,,,,,,,,
Assess,Valutare,Valutazione delle informazioni,Valutare,,,,,,,,,,,,
AllClear,Cessato allarme,L’evento non rappresenta più una minaccia o preoccupazione,Cessato allarme,,,,,,,,,,,,
None,Nessuno,Nessuna azione definita,Nessuno,,,,,,,,,,,,
